,0
0,2.803340409118227
1,3.2282699373402295
2,2.9865300854064603
3,3.1113732039080806
4,3.131003054897729
5,3.1573098837247007
6,3.152373853661281
7,3.197599335225442
8,3.2151681694097842
9,3.201781757040568
10,2.8966810007904478
11,3.2544193401886368
12,3.267932015345036
13,3.2438629711672418
14,3.258635384359092
15,3.215447972972254
16,3.227273668473183
17,3.1711384481521128
18,3.227254735934363
19,2.851438787330993
20,3.079822090543611
21,3.219603123399167
22,3.2468579151375137
23,2.813893304559076
24,3.011047236189311
25,3.079901731573002
26,3.206715632726531
27,3.159294126886176
28,2.9879944603770485
29,2.9698936433359684
30,2.6911446592832142
31,3.1612933062573845
32,3.183619026753806
33,3.2186449304579603
34,3.2592680318867555
35,3.0094352126173867
36,3.2372033609743367
37,3.1826990165104823
38,3.240695839419543
39,3.259234118056614
40,2.9099751962173497
41,3.249059669561971
42,3.2520977663267376
43,3.2330067463074794
44,3.189639596100083
45,3.2442055866871935
46,3.168685013906094
47,3.212689932098277
48,3.233760299580819
49,3.2378238912618134
50,3.2502509638948354
51,3.2530883132531443
52,3.2321734229375054
53,3.2126393448827564
54,3.200123870342172
55,3.2420705928665483
56,3.1666376798151914
57,3.2151176660028935
58,3.1929973611296183
59,3.208787596673952
60,3.189262913916518
61,3.203333442773467
62,3.2474413870328807
63,3.2469992431949133
64,3.266475669695972
65,3.233589990521417
66,3.2492646992108196
67,3.22129750195068
68,3.240367531465956
69,3.1908853055432966
70,2.774668532058206
71,3.251774596423722
72,3.269635910502494
73,3.151906041700404
74,3.2875047883273427
75,3.247585701943106
76,3.264733297419901
77,3.092463413216525
78,3.183027758045866
79,2.9982022659555896
80,3.272429361738667
81,3.22258177743856
82,2.948159911623934
83,3.2539722054148283
84,2.9086697206516927
85,3.258692394509254
86,3.245020979017864
87,3.2674752500075215
88,3.2023644315687534
89,3.1405750898373967
90,3.263193323625354
91,3.27102345649538
92,3.2423980030311146
93,3.257346153213243
94,3.2769524889188317
95,3.274269160716119
96,3.277322825267718
97,3.2729202272737257
98,3.227461387929905
99,3.246681305329882
100,2.9544979630783232
101,3.277428846461152
102,3.2337088627186774
103,3.246736133393316
104,3.228016405140303
105,2.8192496548623893
106,3.27530101737723
107,3.2665039837879295
108,3.2673033750533564
109,3.237033474647133
110,3.2523947586119166
111,2.7556422858984133
112,3.1785889750904093
113,2.8961535255219024
114,3.1644536177841407
