,動物,山林,戶外,室內,飲食,歷史,海,在地體驗（DIY）,攝影,運動(腳踏車、衝浪等),親子,景點名稱
0,-0.9883455098975122,-0.9497054974405543,0.030118868153061307,-0.8112445516339404,-0.7765356126136289,-0.8446929825287037,-0.9429633501912462,-0.9789476296366373,-0.6388178333417922,-0.982212922213547,-0.8854731047823321,地耕味-玩味蕃樂園
1,-0.9945878942318247,-0.9674623865741265,0.947044683225591,-0.990631185794197,-0.9974854325215523,0.8815683491528215,-0.988206577722037,-0.9947534188197957,-0.9658025764838134,-0.977068280781271,-0.996308623054855,太魯閣牌樓
2,-0.9856999544938987,0.06452129348302038,0.9840531443530689,-0.9909498636569893,-0.9908076230870337,-0.9926470705598132,-0.9746098539774299,-0.9844306960265918,-0.5649779353038922,-0.9309388778981289,-0.9598900734317526,吉安溪臺灣欒樹
3,-0.9899167383086951,-0.9191168385929802,0.937245739163538,0.8769098398145838,0.9099161867097016,-0.9859998691982808,-0.9834331779713958,-0.9812918436763678,0.8994188623506187,-0.9906068002846471,0.8294926340035835,山姆先生咖啡館
4,-0.9730084141231952,-0.9609268879921573,-0.925769811917543,-0.9498412856692897,-0.9587493410333048,0.846466019009211,-0.9727346528712044,-0.98795575551925,0.8513057039980136,-0.9836209961965141,-0.9610411506751428,介壽新村
5,-0.9865799196750933,-0.9575149581206355,0.9593211361230374,-0.9954659617578911,-0.9734595250412652,0.8379011686607793,-0.9624683367171494,-0.9915471109329301,-0.9511156288769123,0.8495232038842744,-0.9907865282455852,曙光橋
6,-0.9834938256295898,-0.9544674029305624,-0.8626668660436299,-0.9733335534168408,-0.9529455417602959,0.8388382419082006,-0.9672118575070319,-0.9888525684933913,-0.9429454675236562,-0.9897322350052191,-0.9868239073227132,馬太鞍古屋
7,-0.999224824339997,0.9245952284622139,0.9609758309685521,-0.9809616212412822,0.9431013373984121,0.9205582282176981,-0.998117894228352,-0.9906313668464926,0.9527573810442822,-0.9924389094553894,0.9372383029259106,林田山林業文化園區
8,-0.9986968375412819,-0.9905027098192025,0.9455477956509208,-0.9728645760317254,-0.9918882804909936,0.9375345066871357,-0.990191359554695,-0.9926613749478348,0.935523493117721,-0.9821531122439693,0.9218413425496541,花蓮鐵道文化園區
9,-0.9990417209797187,-0.9788958368534639,0.9726033780408465,0.9355143301339137,0.938965794855148,0.9333377054673295,-0.9912564763871134,0.916788404992884,0.9729925874096095,-0.9905901817089353,-0.9849318281344623,花蓮觀光糖廠
10,-0.999319971919943,-0.9327451314745239,-0.24251012784875442,-0.9162399110589377,-0.9922129407140123,-0.9393160137454586,-0.9632590409093615,-0.9958420561718355,-0.22995936651154875,-0.9854406951091483,-0.9019174291971326,松園別館
11,-0.9994320736383056,-0.9938586324721772,0.9579304321433242,-0.9984287234655802,-0.9957167919627476,-0.9903182647908282,0.9201181904092308,-0.9955394701065803,0.9563053233473582,-0.9958400750138101,-0.9869241709812626,牛山呼庭
12,-0.998003576585416,0.9539215685917,0.9862646533476065,-0.986178578027177,-0.9922326464795064,-0.9908814529431831,-0.9972061330664552,-0.9895429106593752,0.9672624552483535,-0.9884558415647209,-0.9876778191131779,赤柯山
13,-0.999872673296744,-0.9930936140959958,0.9568625937634176,-0.9997005810471558,-0.9989675887070069,-0.9987093793363278,0.9274604337962435,-0.9988283742965345,0.9508976377719285,-0.9852275745104175,0.9453052814523637,太平洋公園(南濱段、北濱段)
14,-0.9998164338683884,-0.9917095030311411,0.9592742077353051,-0.98988548055847,-0.9951186052501035,-0.9898584030734685,0.9454966262133722,-0.9987342501685621,0.9633293966899119,-0.9940234288803422,-0.9787251325751285,向日廣場
15,-0.9940156091454113,-0.9862772298658191,0.9430494059824903,-0.9904856084799942,-0.9785471128779724,-0.979291483487287,0.8973252548169686,-0.9935609839934112,0.9134952863924855,-0.9942534373524614,-0.987904903944522,奇萊鼻燈塔
16,-0.9999137504704976,-0.9954462233682981,0.9574612111954108,-0.9983367058576342,-0.9937114458129035,-0.9945867105330899,0.9228163983310096,-0.9965214771088955,0.9550698838331015,0.9406929469930196,0.9448674324008712,七星潭海岸風景特定區
17,-0.9983124664676672,-0.98025355848671,-0.9311651091271269,0.918617133539785,-0.9787124522971586,0.9071002261811767,-0.970792837942017,-0.9876713345393204,-0.9458907577722626,-0.984095216930132,0.9087757334546198,花蓮港1-1倉庫美術館維納斯藝廊
18,-0.9967002260448334,-0.9703507335304724,0.9522503940823617,-0.9928828305208564,-0.9982588673242487,-0.9825577802399457,-0.9977669527254591,-0.9920223826596444,0.9587679174785058,0.9147269762245971,0.9434166088252496,知卡宣綠森林親水公園
19,-0.9861638173844249,-0.7458122976058916,0.48623113928455997,-0.9115872123297712,-0.8410257770779983,-0.9470592362038632,-0.9045839711284327,-0.9728209515485424,-0.8126985480003723,-0.9384860589483317,-0.7901916232654218,進豐親子公園
20,-0.9994562724147937,-0.6889491355757067,0.9141420741807516,-0.9998514031373538,-0.9995759323191444,-0.9505750120285226,-0.9959846882398198,-0.9984623212305686,0.6273552529543869,-0.9525988728749357,-0.9918191202408484,米棧古道 同遊歷史軌跡
21,-0.995819221824326,0.9156355256836817,0.9843727452382391,-0.9918338055293459,-0.9970043662995294,-0.9843906884379983,-0.9916908185850186,-0.9985411534666242,0.9068127656141216,0.91585710709521,-0.9891382376394939,初英親水自行車道
22,-0.9980178637394443,0.942792126140366,0.9783256346640783,-0.9950111124423677,-0.9967288223375534,-0.9896997916922896,-0.9905635193629696,-0.9935609958022935,0.9562995701615133,0.9500343415596908,-0.9754967099128107,鯉魚潭環潭自行車道
